ID,price
845,2346312.0
1924,1037844.44
10718,1242403.9
12076,4698439.5
12254,1949692.0
9950,2830621.2
1548,2533533.5
526,1338756.8
6776,986065.6
1851,1379703.9
9188,1917757.2
3382,3011444.2
242,2494983.0
6439,1870372.2
1561,2595848.8
5339,2477323.5
7387,2390892.5
11576,1810789.4
5984,4108364.0
4486,1802518.1
2205,1012380.1
3468,1352424.2
4226,2353872.0
2088,2296947.2
2118,2744327.5
8036,1507105.8
23,1362775.6
1898,1970523.6
6976,2679807.5
1465,3170837.2
2040,1442596.8
482,1118207.1
5122,1888062.9
3447,1226567.4
12877,2409339.8
3780,1373190.9
1285,1612067.4
9200,1962412.1
921,2798077.2
3060,2828767.8
1082,1054441.4
71,2635609.0
4464,1857839.9
4576,3463394.2
897,2968097.8
1756,920389.4
8745,2564533.8
806,1502934.1
803,1455022.0
7613,1504802.6
243,1339133.4
8135,1332768.4
1527,2238537.5
2825,1278060.1
666,1101062.4
12028,1517332.1
2308,2069235.2
11223,1541254.5
1479,908558.1
2057,2386500.2
2368,1112158.8
7638,2664295.0
432,2320591.8
9800,1341852.6
2140,3271105.8
837,2090232.1
3227,2075806.5
12412,2383714.2
10267,1379461.4
3850,3388832.8
382,3973094.8
1280,2361510.5
2226,3924088.2
4166,3187350.5
5208,2855539.8
4513,1701878.9
10814,3059742.2
3120,2947023.8
7915,1885055.9
3513,2300863.8
9041,1415937.8
561,1356446.8
11041,2787092.8
2920,2741542.5
2042,991000.06
10220,1956179.6
11511,1784594.6
8424,2948335.0
5801,2993000.5
10746,1230291.5
11018,1194590.8
816,776029.4
10413,1620359.2
4471,2927563.0
1928,1975849.9
323,1816871.4
11548,3030194.0
12564,2778255.8
5817,3358480.8
1030,1344118.5
3888,1897919.9
2427,1974428.8
5378,1848923.1
3701,1699243.0
4536,1550408.4
3799,2848021.2
9431,2384290.8
10878,1264158.9
2028,905685.5
5598,2226209.2
5828,4460259.0
2842,2033811.4
279,2322105.2
4812,2157790.2
11406,1926639.5
1086,1449295.6
2696,1264636.9
9220,1259299.1
1496,1302152.5
3737,1248214.9
12211,3440839.2
1556,1938589.8
1066,1359544.0
1836,1257814.0
10913,1177514.6
1868,1447592.8
12610,3473329.8
12146,1683916.2
2087,1479999.9
2916,2656812.2
10188,2906432.8
3253,1627069.0
9082,2452887.8
12493,1273958.1
5898,3343992.5
8409,2203534.0
5885,2032766.5
1101,961499.0
10071,2093194.2
11403,4089871.2
728,1229328.4
11647,3524351.0
1931,2241513.5
232,2790506.5
3988,1658192.8
9416,1745851.5
1866,1723968.8
5685,2667691.5
2779,2023971.4
3294,3006225.2
1471,2278513.8
2960,1279480.5
10447,1893526.1
1220,2462856.0
69,1575744.0
2002,3928601.2
2784,2307441.0
1911,2173673.0
3023,1559065.8
3394,1692454.2
5920,1384633.8
688,2811645.8
1511,1912787.6
3572,3380458.2
12401,1226975.2
10756,2420310.8
4007,1877738.9
3230,1274833.8
12240,3093477.5
10539,1936119.1
3226,3342450.5
2280,1092900.5
3650,2480205.8
8540,1393346.8
5847,1404270.9
6694,3214505.5
1336,1284905.4
2538,2124052.0
7185,3256966.2
8314,2618841.8
1204,840007.4
2020,1244322.8
2468,1622143.1
9909,1982257.0
7935,1188788.1
1361,1650520.6
6138,1543902.9
1914,3671514.0
11090,1832641.9
9320,1760238.0
172,1793935.5
823,2843340.2
1189,1124109.6
3768,934140.0
2993,1987389.8
12873,1511872.4
1146,916860.06
19,1600017.6
2113,2721140.5
5132,2479765.2
11109,2305902.2
1562,1069110.5
337,1636533.2
1981,4073564.2
546,1361308.0
7428,2135676.2
230,998057.0
412,2801174.5
2205,905435.06
9114,2648650.2
1803,2406348.8
1571,3045670.8
12362,3822919.0
8109,1961897.0
3868,3247317.8
3013,2220811.5
1011,1158753.8
12983,3319326.2
116,1779801.9
3245,1559028.9
2253,3620754.8
10879,3087192.2
2246,1467423.4
11494,3080785.2
2259,3103049.0
2199,1613996.9
1692,1572149.5
5772,1768715.9
10182,2206042.2
